CityEntityId;NomeIta;NomeEng;Hash;Lin;Time;Size;Road;Pop;Fel;BP;PF;PFB;FUR;TR;TRNE;Beni;BeniP;BeniS;BeniB;BeniG;Mon;Mat;GenAtk_A;GenDef_A;GenAtk_D;GenDef_D;CampiAtk_A;CampiDef_A;CampiAtk_D;CampiDef_D;SpedAtk_A;SpedDef_A;SpedAtk_D;SpedDef_D;IQAtk_A;IQDef_A;IQAtk_D;IQDef_D;IQmonB;IQmatB;IQmon;IQmat;IQBeni;IQTruppe;IQAzioni;IQCap;Ally;FSP;TPM;TPB;ADM;MOD;RIN;IMM;Fragments
A_ArcticFuture_Culture1;Parco vacanze olografico;Holo-Holiday Park;026325675;;;6x6;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_ArcticFuture_Culture2;Mezzo di trasporto personale rapido;Personal Rapid Transport;3fe378891;;;7x4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_ArcticFuture_Culture3;Torre di comunicazione;Communication Tower;b2eec90ba;;;4x5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_ArcticFuture_Culture4;Zoo verticale;Vertical Zoo;7ed1be0d1;;;6x3;1.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_ArcticFuture_Culture5;Laguna blu;Blue Lagoon;b28959007;;;5x5;2.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_BronzeAge_Memorial;Cerchio in pietra;Stone Circle;97e3387d6;;;3x3;1.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_BronzeAge_School;Scuola;School;78d3590b4;;;3x3;1.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_BronzeAge_Tavern;Taverna;Tavern;6b36a2923;;;3x3;1.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_BronzeAge_Theater;Teatro;Theater;480651e55;;;4x3;1.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_ColonialAge_Coiffeur;Parrucchiere;Coiffeur;17eefee1a;;;3x2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_ColonialAge_Embassy;Compagnia di Commercio;Trading Company;393cc312b;;;3x4;1.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_ColonialAge_ExoticGoodsVendor;Venditore di Beni Esotici;Exotic Goods Vendor;c404c2da2;;;3x2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_ColonialAge_TravellingCircus;Circo Viaggiante;Travelling Circus;cb24c6abd;;;5x5;2.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_ContemporaryEra_Culture1;Centro Commerciale;Shopping Mall;de256ece9;;;5x5;2.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_ContemporaryEra_Culture2;Giardino Zen;Zen Garden;a4d8a4dd2;;;2x4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_ContemporaryEra_Culture3;Mercato Galleggiante;Floating Market;ab829f33a;;;6x4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_ContemporaryEra_Culture4;Casinò;Casino;1252e0810;;;4x4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_EarlyMiddleAge_Galgen;Forca;Gallows;3a3e739cd;;;2x2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_EarlyMiddleAge_Marketplace;Mercato;Marketplace;7f31d8f6a;;;3x3;1.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_EarlyMiddleAge_Pranger;Gogna;Pillory;7dfa91cfc;;;2x2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_EarlyMiddleAge_Tavern;Locanda;Inn;8d778dbbb;;;3x3;1.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_FutureEra_Culture1;Bio parco;Eco Park;7025108ac;;;6x5;2.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_FutureEra_Culture2;Aeronave ad alghe;Algae Airship;2284e922f;;;3x3;1.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_FutureEra_Culture3;Sala concerti;Concert Hall;221cf47bb;;;4x4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_FutureEra_Culture4;Stazione di controllo del clima;Weather Control Station;18886e53e;;;4x3;1.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_HighMiddleAge_Church;Chiesa;Church;d86aa6f22;;;3x3;1.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_HighMiddleAge_Doctor;Medico;Doctor;7f50b0c59;;;3x3;1.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_HighMiddleAge_Printshop;Stampatore;Printer;08c72530b;;;3x3;1.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_IndustrialAge_Culture1;Saloon;Saloon;a027b9675;;;3x3;1.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_IndustrialAge_Culture2;Stazione della polizia;Police Station;50465fab4;;;3x4;1.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_IndustrialAge_Culture3;Stazione di pompaggio dell'acqua;Water Pumping Station;ab35602c3;;;4x5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_IndustrialAge_Culture4;Museo di storia naturale;Natural History Museum;62f2522bd;;;6x4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_IronAge_Amphitheatre;Anfiteatro;Amphitheater;4aa9fbd50;;;4x4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_IronAge_Publicbath;Bagni pubblici;Public Bath;1d7360cdf;;;4x4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_IronAge_Triumphalarch;Arco di trionfo;Triumphal Arch;b20e5479c;;;3x2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_LateMiddleAge_Academy;Accademia;Academy;dd9926079;;;4x4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A_LateMiddleAge_Cartographer;Cartografo;Cartographer;ca8f5ca82;;;3x2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
